"","group","Property"
"1","text","equals"
"2","text","does_not_equal"
"3","text","contains"
"4","text","does_not_contain"
"5","text","starts_with"
"6","text","ends_with"
"7","text","is_empty"
"8","text","is_not_empty"
"9","number","equals"
"10","number","does_not_equal"
"11","number","greater_than"
"12","number","less_than"
"13","number","greater_than_or_equal_to"
"14","number","less_than_or_equal_to"
"15","number","is_empty"
"16","number","is_not_empty"
"17","checkbox","equals"
"18","checkbox","does_not_equal"
"19","select","equals"
"20","select","does_not_equal"
"21","select","is_empty"
"22","select","is_not_empty"
"23","multi_select","contains"
"24","multi_select","does_not_contain"
"25","multi_select","is_empty"
"26","multi_select","is_not_empty"
"27","date","equals"
"28","date","before"
"29","date","after"
"30","date","on_or_before"
"31","date","is_empty"
"32","date","is_not_empty"
"33","date","on_or_after"
"34","date","past_week"
"35","date","past_month"
"36","date","past_year"
"37","date","next_week"
"38","date","next_month"
"39","date","next_year"
"40","people","contains"
"41","people","does_not_contain"
"42","people","is_empty"
"43","people","is_not_empty"
"44","files","is_empty"
"45","files","is_not_empty"
"46","relation","contains"
"47","relation","does_not_contain"
"48","relation","is_empty"
"49","relation","is_not_empty"
"50","formula","text"
"51","formula","checkbox"
"52","formula","number"
"53","formula","date"
"54","object","value"
